Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Contain_Control_Date,Year
Bighorn,SW,AZ,06/05/2020,07/22/2020,"119,978",L,$44463612,WF,,2020.0
Bobcat,SO,CA,09/06/2020,11/27/2020,"115,997",U,$100000000,WF,,2020.0
Woodhead,GB,ID,09/07/2020,10/22/2020,"96,614",H,$11230000,WF,,2020.0
Badger,GB,ID,09/12/2020,10/10/2020,"90,143",U,$15800000,WF,,2020.0
East Fork,GB,UT,08/21/2020,11/19/2020,"90,000",L,$23523403,WF,,2020.0
"CZU August
Lightning",NO,CA,08/16/2020,09/21/2020,"86,509",U,$55900466,WF,,2020.0
W-5 Cold Springs,NO,CA,08/18/2020,09/13/2020,"84,817",U,$10300000,WF,,2020.0
July Complex,NO,CA,07/22/2020,08/18/2020,"83,261",U,$35000000,WF,,2020.0
Caldwall,NO,CA,07/22/2020,07/24/2020,"80,859",U,$34500000,WF,,2020.0
Mendocino Complex,NO,CA,07/27/2018,09/18/2018,"459,123",U,$220000000,WF,,2018.0
Martin,GB,NV,07/05/2018,07/21/2018,"435,569",U,$10000000,WF,,2018.0
Rhea,SA,OK,04/12/2018,04/26/2018,"286,196",U,$3800000,WF,,2018.0
South Sugarloaf,GB,NV,08/17/2018,10/10/2018,"233,458",L,$20000000,WF,,2018.0
Carr,NO,CA,07/23/2018,08/30/2018,"229,651",U,$162289294,WF,,2018.0
Klondike,NW,OR,07/15/2018,11/28/2018,"175,258",L,$104500000,WF,,2018.0
Camp,NO,CA,11/08/2018,11/25/2018,"153,336",U,$120000000,WF,,2018.0
Goose Creek,GB,NV,07/26/2018,08/10/2018,"132,220",U,$7850000,WF,,2018.0
Spring Creek,RM,CO,06/27/2018,09/06/2018,"108,045",H,$35000000,WF,,2018.0
Pole Creek,GB,UT,09/06/2018,10/08/2018,"102,191",L,$29100000,WF,,2018.0
Boxcar,NW,OR,06/21/2018,07/03/2018,"100,207",U,$3500000,WF,,2018.0
Grassy Ridge,GB,ID,07/26/2018,08/15/2018,"99,502",L,$3000000,WF,,2018.0
Woolsey,SO,CA,11/08/2018,11/27/2018,"96,949",U,$56943320,WF,,2018.0
Ferguson,SO,CA,07/13/2018,08/23/2018,"96,901",U,$150000000,WF,,2018.0
County,NO,CA,06/30/2018,07/14/2018,"90,288",U,$47000000,WF,,2018.0
Avian Complex,SA,FL,05/01/2018,05/29/2018,"82,461",U,$10781364,WF,,2018.0
Substation,NW,OR,07/17/2018,08/02/2018,"78,425",H,$4200000,WF,,2018.0
Grass Valley,NW,WA,08/11/2018,08/15/2018,"75,573",U,$875000,WF,,2018.0
Mallard,SA,TX,05/08/2018,05/20/2018,"75,530",U,NR,WF,,2018.0
Boylston,NW,WA,07/19/2018,07/23/2018,"71,200",U,$995000,WF,,2018.0
Dollar Ridge,GB,UT,07/01/2018,08/29/2018,"70,003",U,$22000000,WF,,2018.0
Zitziana River,AK,AK,06/04/2018,09/07/2018,"69,332",L,$2440527,WF,,2018.0
Sharps,GB,ID,07/29/2018,09/13/2018,"64,853",H,$9500000,WF,,2018.0
Delta,NO,CA,09/05/2018,10/07/2018,"63,311",H,$64429020,WF,,2018.0
Smith River Complex,NO,CA,08/16/2023,11/15/2023,"95,107",U,NR,WF,,2023.0
York,SO,CA,07/28/2023,08/19/2023,"93,078",H,NR,WF,,2023.0
Newell Road,NW,WA,07/21/2023,07/30/2023,"60,551",U,NR,WF,,2023.0
Pass,SW,NM,05/21/2023,08/31/2023,"59,833",L,NR,WF,,2023.0
Anderson Complex,AK,AK,07/29/2023,08/24/2023,"58,933",U,NR,WF,,2023.0
Delta,AK,AK,07/25/2023,08/31/2023,"57,395",L,NR,WF,,2023.0
Clear Creek Complex,AK,AK,07/27/2023,08/17/2023,"52,966",L,NR,WF,,2023.0
"2023 SRF Lightning
Complex",NO,CA,08/17/2023,10/24/2023,"50,198",U,NR,WF,,2023.0
Pogo Mine Road,AK,AK,07/25/2023,08/23/2023,"48,792",L,NR,WF,,2023.0
Cooksley,RM,NE,04/18/2023,04/18/2023,"40,000",U,NR,WF,,2023.0
Tanana Area Fires,AK,AK,06/19/2015,08/06/2015,"498,043",L,"$ 14,049,552",WF,,2015.0
Ruby Area Fires,AK,AK,07/02/2015,08/04/2015,"421,613",L,"$ 2,845,925",WF,,2015.0
Soda,GB,ID,08/10/2015,08/23/2015,"285,361",U,"$ 6,250,000",WF,,2015.0
Sushgitit Hills,AK,AK,06/21/2015,08/15/2015,"270,747",L,"$ 51,000",WF,,2015.0
North Star,NW,WA,08/13/2015,11/30/2015,"218,138",H,"$ 45,000,000",WF,,2015.0
Holtnakatna,AK,AK,06/22/2015,07/06/2015,"198,133",L,NR,WF,,2015.0
Aniak Complex,AK,AK,07/04/2015,07/19/2015,"157,783",L,"$ 6,492,120",WF,,2015.0
Rough,SO,CA,07/31/2015,10/12/2015,"151,623",L,"$ 120,930,243",WF,,2015.0
Okanogan Complex,NW,WA,08/14/2015,09/29/2015,"145,282",L,NR,WF,,2015.0
Rock,AK,AK,06/19/2015,08/15/2015,"142,637",L,"$ 1,694,868",WF,,2015.0
Isahultila,AK,AK,06/21/2015,08/15/2015,"128,617",L,"$ 10,000",WF,,2015.0
Sea,AK,AK,06/19/2015,08/08/2015,"111,193",L,"$ 7,000",WF,,2015.0
Canyon Creek Complex,NW,OR,08/12/2015,10/29/2015,"110,261",L,"$ 31,453,602",WF,,2015.0
Big Mud River 1,AK,AK,06/21/2015,08/08/2015,"103,170",L,"$ 5,000",WF,,2015.0
Cornet-Windy Ridge,NW,OR,08/11/2015,10/27/2015,"102,089",U,"$ 6,010,000",WF,,2015.0
Iditarod River,AK,AK,06/20/2015,07/25/2015,"98,183",L,"$ 282,298",WF,,2015.0
Blazo,AK,AK,06/19/2015,07/07/2015,"96,644",L,NR,WF,,2015.0
Tepee Springs,GB,ID,08/12/2015,10/19/2015,"95,709",L,"$ 31,540,000",WF,,2015.0
Munsatli 2,AK,AK,07/04/2015,08/02/2015,"95,679",L,"$ 6,000",WF,,2015.0
"Selway/Elk City/Red River
Complex",NR,ID,08/17/2015,10/29/2015,"94,921",L,"$ 16,000,000",WF,,2015.0
Chelan Complex,NW,WA,08/14/2015,09/20/2015,"88,985",U,"$ 10,000,000",WF,,2015.0
"Clearwater/Municipal/Motorway
North Complex",NR,ID,08/10/2015,09/08/2015,"83,243",L,"$ 41,527,637",WF,,2015.0
Grizzly Bear Complex,NW,OR,08/13/2015,10/30/2015,"83,148",L,"$ 20,968,610",WF,,2015.0
Torment Creek,AK,AK,06/20/2015,08/04/2015,"81,468",L,"$ 7,000",WF,,2015.0
River Complex,NO,CA,07/30/2015,09/25/2015,"77,081",L,"$ 32,678,783",WF,,2015.0
Kettle Complex,NW,WA,08/11/2015,09/27/2015,"76,512",L,NR,WF,,2015.0
Valley,NO,CA,09/12/2015,10/05/2015,"76,067",U,"$ 56,220,000",WF,,2015.0
Wolverine,NW,WA,06/29/2015,10/03/2015,"72,123",L,"$ 35,000,000",WF,,2015.0
Butte,NO,CA,09/09/2015,09/30/2015,"70,868",U,"$ 74,720,784",WF,,2015.0
Rocky,NO,CA,07/29/2015,08/14/2015,"69,438",U,"$ 46,100,000",WF,,2015.0
Bear Creek,NR,MT,08/12/2015,10/22/2015,"69,435",L,"$ 3,300,000",WF,,2015.0
Kutokbuna Lake,AK,AK,06/21/2015,07/02/2015,"68,320",L,"$ 82,167",WF,,2015.0
County Line 2,NW,OR,08/12/2015,08/31/2015,"67,207",U,"$ 16,400,000",WF,,2015.0
Three Day,AK,AK,06/19/2015,07/07/2015,"66,703",L,NR,WF,,2015.0
Lloyd,AK,AK,06/24/2015,08/14/2015,"66,267",L,"$ 603,744",WF,,2015.0
Carpenter Road,NW,WA,08/14/2015,12/16/2015,"63,972",H,"$ 22,650,000",WF,,2015.0
West Fork,AK,AK,06/19/2015,07/25/2015,"58,335",L,"$ 4,000",WF,,2015.0
Dulbi River,AK,AK,06/19/2015,06/25/2015,"56,687",L,NR,WF,,2015.0
Tobatokh,AK,AK,06/22/2015,07/01/2015,"54,036",L,"$ 2,000",WF,,2015.0
Family Peak Complex,NR,MT,08/13/2015,10/17/2015,"53,890",L,"$ 4,205,000",WF,,2015.0
Cougar Creek,NW,WA,08/10/2015,10/17/2015,"53,534",L,"$ 23,500,000",WF,,2015.0
Hardpac Creek,AK,AK,06/21/2015,08/03/2015,"50,482",L,"$ 3,000",WF,,2015.0
Bendire Complex,NW,OR,08/11/2015,09/15/2015,"49,628",L,"$ 4,820,000",WF,,2015.0
Chitanana River,AK,AK,06/21/2015,07/11/2015,"49,540",L,"$ 1,000",WF,,2015.0
Can Creek,AK,AK,06/01/2015,07/17/2015,"48,729",L,"$ 18,945",WF,,2015.0
Glacier,AK,AK,06/23/2015,07/28/2015,"47,333",L,"$ 4,000",WF,,2015.0
Dixie,NO,CA,07/13/2021,10/23/2021,"963,309",U,NR,WF,,2021.0
Bootleg,NW,OR,07/06/2021,08/13/2021,"413,717",L,NR,WF,,2021.0
Monument,NO,CA,07/31/2021,10/25/2021,"223,124",L,NR,WF,,2021.0
Caldor,NO,CA,08/14/2021,10/20/2021,"221,835",H,NR,WF,,2021.0
River Complex,NO,CA,07/30/2021,10/24/2021,"199,359",L,NR,WF,,2021.0
Telegraph,SW,AZ,06/04/2021,07/02/2021,"180,757",H,NR,WF,,2021.0
Richard Spring,NR,MT,08/08/2021,08/20/2021,"171,130",L,NR,WF,,2021.0
Antelope,NO,CA,08/01/2021,10/14/2021,"145,632",U,NR,WF,,2021.0
McFarland,NO,CA,07/30/2021,09/15/2021,"122,653",L,NR,WF,,2021.0
Four County,RM,KS,12/15/2021,12/23/2021,"121,622",H,NR,WF,,2021.0
"Snake River
Complex",NR,ID,07/08/2021,08/18/2021,"109,444",L,NR,WF,,2021.0
Schneider Springs,NW,WA,08/04/2021,10/25/2021,"107,322",L,NR,WF,,2021.0
"Beckwourth
Complex",NO,CA,07/03/2021,09/21/2021,"105,670",U,NR,WF,,2021.0
Windy,SO,CA,09/09/2021,11/10/2021,"97,528",L,NR,WF,,2021.0
McCash,NO,CA,07/31/2021,10/27/2021,"94,962",L,NR,WF,,2021.0
Cougar Peak,NW,OR,09/07/2021,10/20/2021,"91,810",U,NR,WF,,2021.0
Johnson,SW,NM,05/20/2021,07/15/2021,"88,918",L,NR,WF,,2021.0
Boundary,GB,ID,08/10/2021,10/21/2021,"88,757",L,NR,WF,,2021.0
KNP Complex,SO,CA,09/12/2021,12/15/2021,"88,307",L,NR,WF,,2021.0
Rafael,SW,AZ,06/20/2021,07/13/2021,"78,065",L,NR,WF,,2021.0
Mescal,SW,AZ,06/01/2021,06/16/2021,"72,250",H,NR,WF,,2021.0
Cub Creek 2,NW,WA,07/16/2021,09/26/2021,"70,168",H,NR,WF,,2021.0
"Devilâ€™s Knob
Complex",NW,OR,08/03/2021,10/29/2021,"70,110",L,NR,WF,,2021.0
Tamarack,GB,NV,07/16/2021,10/07/2021,"68,637",L,NR,WF,,2021.0
Betty's Way,RM,NE,02/26/2024,03/11/2024,69810.0,U,NR,WF,,2024.0
Smokehouse Creek,SA,TX,02/26/2024,03/17/2024,1054153.0,H,NR,WF,,2024.0
Catesby,SA,OK,02/27/2024,03/15/2024,89688.0,H,NR,WF,,2024.0
McDonald,AK,AK,06/08/2024,07/20/2024,152227.0,L,NR,WF,,2024.0
Midnight,AK,AK,06/19/2024,07/09/2024,52550.0,L,NR,WF,,2024.0
Grapefruit Complex,AK,AK,06/28/2024,07/13/2024,89011.0,U,NR,WF,,2024.0
Falls,NW,OR,07/10/2024,08/21/2024,151689.0,H,NR,WF,,2024.0
Cow Valley,NW,OR,07/11/2024,08/09/2024,133490.0,U,NR,WF,,2024.0
Lone Rock,NW,OR,07/13/2024,08/31/2024,137222.0,U,NR,WF,,2024.0
Boneyard,NW,OR,07/17/2024,07/25/2024,49716.0,L,NR,WF,,2024.0
Durkee,NW,OR,07/17/2024,09/04/2024,294265.0,L,NR,WF,,2024.0
"Battle Mountain
Complex",NW,OR,07/18/2024,09/14/2024,183026.0,U,NR,WF,,2024.0
Monkey Creek,NW,OR,07/18/2024,07/20/2024,115269.0,U,NR,WF,,2024.0
Swawilla I,NW,WA,07/18/2024,11/03/2024,53462.0,L,NR,WF,,2024.0
Telephone,NW,OR,07/22/2024,08/21/2024,54005.0,L,NR,WF,,2024.0
Crazy Creek,NW,OR,07/22/2024,09/25/2024,86968.0,L,NR,WF,,2024.0
Big Horn,NW,WA,07/22/2024,07/30/2024,51569.0,U,NR,WF,,2024.0
Badland Complex,NW,OR,07/23/2024,08/14/2024,54617.0,U,NR,WF,,2024.0
Retreat,NW,WA,07/23/2024,10/01/2024,45601.0,H,NR,WF,,2024.0
Park,NO,CA,07/24/2024,09/25/2024,429603.0,U,NR,WF,,2024.0
Borel,SO,CA,07/24/2024,09/14/2024,59288.0,U,NR,WF,,2024.0
Wapiti,GB,ID,07/24/2024,10/24/2024,129063.0,L,NR,WF,,2024.0
Hole In The Ground,NW,OR,07/24/2024,08/01/2024,98855.0,L,NR,WF,,2024.0
Paddock,GB,ID,08/05/2024,08/17/2024,187185.0,L,NR,WF,,2024.0
Warner Peak,NW,OR,08/05/2024,08/23/2024,65866.0,L,NR,WF,,2024.0
Nellie,GB,ID,08/06/2024,08/08/2024,48196.0,L,NR,WF,,2024.0
"Middle Fork
Complex",GB,ID,08/08/2024,10/24/2024,61496.0,U,NR,WF,,2024.0
Flat Rock,RM,WY,08/21/2024,09/12/2024,52421.0,U,NR,WF,,2024.0
House Draw,RM,WY,08/21/2024,09/12/2024,174547.0,L,NR,WF,,2024.0
Remington,RM,WY,08/22/2024,09/19/2024,196368.0,U,NR,WF,,2024.0
Red Rock,GB,ID,09/02/2024,10/28/2024,79260.0,L,NR,WF,,2024.0
Rail Ridge,NW,OR,09/02/2024,10/31/2024,176661.0,L,NR,WF,,2024.0
Lava,GB,ID,09/03/2024,10/24/2024,97585.0,L,NR,WF,,2024.0
Line,SO,CA,09/04/2024,12/24/2024,43978.0,U,NR,WF,,2024.0
Bridge,SO,CA,09/08/2024,12/29/2024,56030.0,U,NR,WF,,2024.0
Pack Trail,RM,WY,09/18/2024,11/02/2024,89930.0,L,NR,WF,,2024.0
Elk,RM,WY,09/27/2024,11/14/2024,98352.0,U,NR,WF,,2024.0
Old Grouch Top,AK,AK,06/05/2019,08/01/2019,"307,969",L,NR,WF,,2019.0
Frozen Calf,AK,AK,06/24/2019,07/11/2019,"240,543",L,NR,WF,,2019.0
Hess Creek,AK,AK,06/21/2019,08/01/2019,"189,369",L,NR,WF,,2019.0
Swan Lake,AK,AK,06/05/2019,10/02/2019,"167,183",L,NR,WF,,2019.0
Bearnose Hill,AK,AK,06/29/2019,07/11/2019,"130,768",L,NR,WF,,2019.0
Woodbury,SW,AZ,06/08/2019,07/05/2019,"123,875",U,NR,WF,,2019.0
Sheep,GB,ID,06/22/2019,07/25/2019,"112,106",L,NR,WF,,2019.0
Black River,AK,AK,06/18/2019,08/08/2019,"107,078",L,NR,WF,,2019.0
North River,AK,AK,06/10/2019,07/21/2019,"101,451",L,NR,WF,,2019.0
Tractor Trail 2,AK,AK,06/22/2019,07/11/2019,"92,628",L,NR,WF,,2019.0
Hurst Creek,AK,AK,06/22/2019,07/04/2019,"85,261",L,NR,WF,,2019.0
"Little Crazy
Mountain",AK,AK,06/21/2019,07/25/2019,"79,953",L,NR,WF,,2019.0
Little Mud River,AK,AK,06/21/2019,07/25/2019,"79,675",L,NR,WF,,2019.0
Kincade,NO,CA,10/23/2019,11/07/2019,"77,758",U,NR,WF,,2019.0
Smith Creek,AK,AK,06/30/2019,08/02/2019,"71,815",H,NR,WF,,2019.0
Pothole,GB,ID,08/06/2019,08/08/2019,"69,704",H,NR,WF,,2019.0
Hadweenzic River,AK,AK,06/22/2019,07/19/2019,"62,068",L,NR,WF,,2019.0
Walker,NO,CA,08/16/2019,09/25/2019,"54,608",U,NR,WF,,2019.0
Wilderness,AK,AK,06/20/2019,07/25/2019,"53,411",L,NR,WF,,2019.0
Foraker,AK,AK,06/26/2019,07/25/2019,"49,980",L,NR,WF,,2019.0
Grouse Creek,AK,AK,07/10/2019,08/07/2019,"49,533",L,NR,WF,,2019.0
Page Mountain,AK,AK,06/22/2019,08/01/2019,"46,897",L,NR,WF,,2019.0
Williams Flatt,NW,WA,08/02/2019,08/24/2019,"44,446",L,NR,WF,,2019.0
Bergman Creek,AK,AK,06/21/2019,07/25/2019,"42,300",L,NR,WF,,2019.0
Sawgrass,SA,FL,06/23/2019,06/27/2019,"42,000",L,NR,WF,,2019.0
Cold Creek,NW,WA,07/18/2019,07/21/2019,"41,920",U,NR,WF,,2019.0
Wallow,SW,AZ,05/29/2011,07/08/2011,"538,049",U,"$109,000,000",WF,07/08/2011,2011.0
Rock House,SA,TX,04/09/2011,05/12/2011,"314,444",H,"$8,399,072",WF,05/12/2011,2011.0
Honey Prairie,SA,GA,04/30/2011,12/28/2011,"309,200",L,"$53,420,000",WF,12/28/2011,2011.0
Horseshoe 2,SW,AZ,05/08/2011,07/20/2011,"222,954",H,"$52,000,000",WF,07/20/2011,2011.0
Deaton Cole,SA,TX,04/25/2011,05/11/2011,"175,000",U,NR,WF,05/11/2011,2011.0
Cooper Mountain Ranch,SA,TX,04/11/2011,04/23/2011,"162,625",L,"$1,194,159",WF,04/23/2011,2011.0
Wildcat,SA,TX,04/11/2011,05/02/2011,"159,308",L,"$5,282,333",WF,05/02/2011,2011.0
Las Conchas,SW,NM,06/26/2011,07/13/2011,"156,593",H,"$48,385,000",WF,07/13/2011,2011.0
Pk Complex,SA,TX,04/13/2011,05/12/2011,"126,734",H,"$6,639,413",WF,05/12/2011,2011.0
Swenson,SA,TX,04/06/2011,04/23/2011,"122,500",H,"$2,567,948",WF,04/23/2011,2011.0
Indian Creek,WB,NV,09/30/2011,10/13/2011,"110,827",L,"$2,500,000",WF,10/13/2011,2011.0
High Cascades,NW,OR,08/24/2011,09/21/2011,"108,154",L,"$28,294,465",WF,09/21/2011,2011.0
Southeast Texas Complex,SA,TX,09/07/2011,11/18/2011,"104,818",U,"$20,065,853",WF,11/18/2011,2011.0
Donaldson,SW,NM,06/28/2011,07/09/2011,"101,563",L,"$5,700,000",WF,07/09/2011,2011.0
Pagami Creek,SW,MN,08/17/2011,10/22/2011,"92,193",L,"$22,700,000",WF,10/22/2011,2011.0
Dickens County Complex,SA,TX,05/07/2011,05/21/2011,"89,200",L,NR,WF,05/21/2011,2011.0
Miller,SW,NM,04/28/2011,06/14/2011,"88,835",H,"$18,100,000",WF,06/14/2011,2011.0
Iron Mountain,SA,TX,05/09/2011,05/24/2011,"87,401",U,NR,WF,05/24/2011,2011.0
Schwartz,SA,TX,05/07/2011,05/24/2011,"83,995",U,NR,WF,05/24/2011,2011.0
Frying Pan Ranch,SA,TX,04/14/2011,04/20/2011,"80,907",U,"$277,072",WF,04/20/2011,2011.0
White Hat,SA,TX,06/20/2011,07/01/2011,"72,473",U,NR,WF,07/01/2011,2011.0
Prairie,SA,FL,06/05/2011,06/24/2011,"68,295",H,NR,WF,06/24/2011,2011.0
Murphy Complex,SW,AZ,05/30/2011,06/15/2011,"68,079",H,"$5,692,555",WF,06/15/2011,2011.0
Big Hill,EB,ID,08/14/2011,08/17/2011,"67,000",L,"$150,000",WF,08/17/2011,2011.0
Enterprise,SW,NM,02/27/2011,02/28/2011,"64,936",H,"$37,000",WF,02/28/2011,2011.0
Crawford Ranch,SA,TX,04/09/2011,04/12/2011,"60,000",U,NR,WF,04/12/2011,2011.0
Hancock Complex,NW,OR,08/24/2011,09/16/2011,"57,597",L,"$2,896,867",WF,09/16/2011,2011.0
East Volkmar,AK,AK,05/26/2011,08/10/2011,"54,217",L,"$6,912,031",WF,08/10/2011,2011.0
Killough,SA,TX,04/09/2011,04/16/2011,"54,000",U,NR,WF,04/16/2011,2011.0
Last Chance,SW,NM,04/24/2011,05/09/2011,"53,342",H,"$2,062,400",WF,05/09/2011,2011.0
Diamond Complex,NR,MT,08/22/2011,09/03/2011,"52,710",L,"$4,982,582",WF,09/03/2011,2011.0
Northeast Texas Complex,SA,TX,09/04/2011,09/29/2011,"52,681",U,"$3,958,900",WF,09/29/2011,2011.0
T17,EB,ID,08/25/2011,08/27/2011,"50,176",U,"$410,000",WF,08/27/2011,2011.0
Chukkar Canyon,WB,NV,09/30/2011,10/13/2011,"48,672",L,"$500,000",WF,10/13/2011,2011.0
Pains Bay,SA,NC,05/05/2011,06/28/2011,"45,294",L,"$13,934,482",WF,06/28/2011,2011.0
Bear Springs Callie Marie,RM,CO,06/05/2011,06/21/2011,"44,662",L,"$2,500,000",WF,06/21/2011,2011.0
Izzenhood,WB,NV,09/30/2011,10/13/2011,"42,157",L,"$500,000",WF,10/13/2011,2011.0
Matador West,SA,TX,02/27/2011,03/02/2011,"41,000",U,NR,WF,03/02/2011,2011.0
Roper,SA,TX,04/11/2011,04/13/2011,"41,000",U,"$82,000",WF,04/13/2011,2011.0
#536 Bear Creek,SA,TX,09/04/2011,09/10/2011,"40,388",U,"$48,400",WF,09/10/2011,2011.0
Stanton County,RM,KS,03/22/2011,03/28/2011,"40,000",H,NR,WF,03/28/2011,2011.0
Chester,SA,OK,07/10/2009,07/17/2009,"41,497",U,"$250,000",WF,07/17/2009,2009.0
Bluff Creek,AK,AK,07/26/2009,11/10/2009,"41,756",L,NR,WF,11/10/2009,2009.0
Big Pole,EB,UT,08/06/2009,11/09/2009,"44,345",L,NR,WF,11/09/2009,2009.0
Dry Creek Complex,NW,WA,08/20/2009,08/24/2009,"48,902",L,"$870,000",WF,08/24/2009,2009.0
Bear Creek,AK,AK,06/17/2009,09/25/2009,"50,897",L,NR,WF,09/25/2009,2009.0
Putnam,SA,OK,03/05/2009,03/11/2009,"52,790",N,NR,WF,03/11/2009,2009.0
East Slide Rock Ridge,WB,NV,08/10/2008,04/07/2009,"54,549",L,NR,WF,04/07/2009,2009.0
Cato,SW,NM,06/10/2009,06/13/2009,"55,080",L,"$460,000",WF,06/13/2009,2009.0
Chakina,AK,AK,07/02/2009,08/25/2009,"56,413",L,"$1,933,616",WF,08/25/2009,2009.0
Loco/Healdton,SA,OK,04/09/2009,04/15/2009,"56,688",U,NR,WF,04/15/2009,2009.0
Rock Slough,AK,AK,06/30/2009,11/10/2009,"62,313",L,NR,WF,11/10/2009,2009.0
Sheenjek,AK,AK,07/02/2009,10/01/2009,"62,658",L,"$245,000",WF,10/01/2009,2009.0
Stevens Creek #1,AK,AK,06/18/2009,11/10/2009,"85,909",L,NR,WF,11/10/2009,2009.0
La Brea,SO,CA,08/08/2009,10/05/2009,"89,489",H,NR,WF,10/05/2009,2009.0
Pasco,SW,NM,06/10/2009,06/23/2009,"93,029",L,"$450,000",WF,06/23/2009,2009.0
Rex Creek *,AK,AK,08/02/2009,09/01/2009,"101,150",L,NR,WF,September,2009.0
Wood River 1,AK,AK,07/12/2009,09/01/2009,"125,382",L,NR,WF,September,2009.0
Nowitna,AK,AK,06/13/2009,08/01/2009,"126,582",L,NR,WF,August,2009.0
Zitziana,AK,AK,06/17/2009,08/01/2009,"141,125",L,NR,WF,August,2009.0
Station,SO,CA,08/26/2009,11/22/2009,"160,577",H,"$95,510,000",WF,11/22/2009,2009.0
Tonclonukna Creek,AK,AK,05/23/2009,07/01/2009,"164,318",L,"$2,969,556",WF,July,2009.0
Titna River,AK,AK,07/11/2009,08/01/2009,"164,542",L,NR,WF,August,2009.0
Big Creek,AK,AK,07/18/2009,08/18/2009,"169,639",L,"$820,825",WF,08/18/2009,2009.0
Little Black One **,AK,AK,06/20/2009,08/01/2009,"349,450",L,NR,WF,August,2009.0
"Crazy Mountain
Complex **",AK,AK,06/20/2009,08/01/2009,"447,420",L,NR,WF,August,2009.0
Minto Flats South *,AK,AK,06/21/2009,07/01/2009,"517,078",L,NR,WF,July,2009.0
Railbelt Complex *,AK,AK,06/21/2009,08/01/2009,"636,224",L,NR,WF,August,2009.0
